Fruit,Growing Zone,Red Color
Apple,Temperate,Yes
Banana,Tropical,No
Grape,Temperate,Yes
Orange,Tropical,No
Watermelon,Tropical,Yes
Strawberry,Temperate,Yes
Mango,Tropical,No
Pear,Temperate,No
Peach,Temperate,Yes
Cherry,Temperate,Yes
Raspberry,Temperate,Yes
Blueberry,Temperate,Yes
Pomelo,Tropical,No
Coconut,Tropical,No
Persimmon,Temperate,No
Pomegranate,Tropical,Yes
Durian,Tropical,No
Lemon,Tropical,No
Betel nut,Tropical,No
Longan,Tropical,No
Guava,Tropical,No
Dragon fruit,Tropical,No
Mulberry,Temperate,Yes
Hazelnut,Temperate,No
Chestnut,Temperate,No
Apricot,Temperate,Yes
Bayberry,Temperate,No
Lychee,Tropical,No
Pineapple,Tropical,No
Jujube,Temperate,No
